date,file_id,aoi,tank,conc
10/24/23,Blue_241023.csv,3,6,Blue
10/24/23,Blue_241023.csv,4,3,Blue
10/24/23,Blue_241023.csv,5,3,Blue
10/24/23,Blue_241023.csv,6,3,Blue
10/24/23,Blue_241023.csv,7,8,Blue
10/24/23,Blue_241023.csv,8,8,Blue
10/24/23,Blue_241023.csv,9,8,Blue
10/24/23,Green_241023.csv,1,6,Green
10/24/23,Green_241023.csv,2,6,Green
10/24/23,Green_241023.csv,3,3,Green
10/24/23,Green_241023.csv,4,3,Green
10/24/23,Green_241023.csv,5,8,Green
10/24/23,Green_241023.csv,6,8,Green
10/24/23,Green_241023.csv,7,8,Green
10/24/23,red_241023.csv,1,6,red
10/24/23,red_241023.csv,2,6,red
10/24/23,red_241023.csv,3,6,red
10/24/23,red_241023.csv,4,3,red
10/24/23,red_241023.csv,5,3,red
10/24/23,red_241023.csv,6,3,red
10/24/23,red_241023.csv,7,8,red
10/24/23,Purple_241023.csv,1,6,Purple
10/24/23,Purple_241023.csv,2,6,Purple
10/24/23,Purple_241023.csv,3,6,Purple
10/24/23,Purple_241023.csv,4,3,Purple
10/24/23,Purple_241023.csv,5,3,Purple
10/24/23,Purple_241023.csv,6,3,Purple
10/24/23,Purple_241023.csv,7,8,Purple
10/24/23,Purple_241023.csv,8,8,Purple
10/24/23,Purple_241023.csv,9,8,Purple
10/24/23,Yellow_241023.csv,1,6,Yellow
10/24/23,Yellow_241023.csv,2,6,Yellow
10/24/23,Yellow_241023.csv,3,6,Yellow
10/24/23,Yellow_241023.csv,4,3,Yellow
10/24/23,Yellow_241023.csv,5,3,Yellow
10/24/23,Yellow_241023.csv,6,3,Yellow
10/24/23,Yellow_241023.csv,7,8,Yellow
10/24/23,Yellow_241023.csv,8,8,Yellow
10/24/23,Yellow_241023.csv,9,8,Yellow
10/24/23,Pink_241023.csv,1,6,Pink
10/24/23,Pink_241023.csv,2,6,Pink
10/24/23,Pink_241023.csv,3,6,Pink
10/24/23,Pink_241023.csv,4,3,Pink
10/24/23,Pink_241023.csv,5,3,Pink
10/24/23,Pink_241023.csv,6,3,Pink
10/24/23,Pink_241023.csv,7,8,Pink
10/24/23,Pink_241023.csv,8,8,Pink
10/24/23,Pink_241023.csv,9,8,Pink
10/25/23,Blue_251023.csv,1,6,Blue
10/25/23,Blue_251023.csv,2,6,Blue
10/25/23,Blue_251023.csv,3,6,Blue
10/25/23,Blue_251023.csv,4,3,Blue
10/25/23,Blue_251023.csv,5,3,Blue
10/25/23,Blue_251023.csv,6,3,Blue
10/25/23,Blue_251023.csv,7,8,Blue
10/25/23,Blue_251023.csv,8,8,Blue
10/25/23,Blue_251023.csv,9,8,Blue
10/25/23,Green_251023.csv,1,6,Green
10/25/23,Green_251023.csv,2,6,Green
10/25/23,Green_251023.csv,3,6,Green
10/25/23,Green_251023.csv,4,3,Green
10/25/23,Green_251023.csv,5,3,Green
10/25/23,Green_251023.csv,6,3,Green
10/25/23,Green_251023.csv,7,8,Green
10/25/23,Green_251023.csv,8,8,Green
10/25/23,Green_251023.csv,9,8,Green
10/25/23,red_251023.csv,1,6,red
10/25/23,red_251023.csv,2,6,red
10/25/23,red_251023.csv,3,6,red
10/25/23,red_251023.csv,4,3,red
10/25/23,red_251023.csv,5,3,red
10/25/23,red_251023.csv,6,3,red
10/25/23,Purple_251023.csv,1,6,Purple
10/25/23,Purple_251023.csv,2,6,Purple
10/25/23,Purple_251023.csv,3,6,Purple
10/25/23,Purple_251023.csv,4,3,Purple
10/25/23,Purple_251023.csv,5,3,Purple
10/25/23,Purple_251023.csv,6,3,Purple
10/25/23,Purple_251023.csv,7,8,Purple
10/25/23,Purple_251023.csv,8,8,Purple
10/25/23,Purple_251023.csv,9,8,Purple
10/25/23,Yellow_251023.csv,1,6,Yellow
10/25/23,Yellow_251023.csv,2,6,Yellow
10/25/23,Yellow_251023.csv,3,6,Yellow
10/25/23,Yellow_251023.csv,4,3,Yellow
10/25/23,Yellow_251023.csv,5,3,Yellow
10/25/23,Yellow_251023.csv,6,3,Yellow
10/25/23,Yellow_251023.csv,7,8,Yellow
10/25/23,Yellow_251023.csv,8,8,Yellow
10/25/23,Yellow_251023.csv,9,8,Yellow
10/25/23,Pink_251023.csv,1,6,Pink
10/25/23,Pink_251023.csv,2,6,Pink
10/25/23,Pink_251023.csv,3,6,Pink
10/25/23,Pink_251023.csv,4,3,Pink
10/25/23,Pink_251023.csv,5,3,Pink
10/25/23,Pink_251023.csv,6,3,Pink
10/25/23,Pink_251023.csv,7,8,Pink
10/25/23,Pink_251023.csv,8,8,Pink
10/25/23,Pink_251023.csv,9,8,Pink
10/26/23,Pink_261023.csv,1,6,Pink
10/26/23,Pink_261023.csv,2,6,Pink
10/26/23,Pink_261023.csv,3,6,Pink
10/26/23,Pink_261023.csv,4,3,Pink
10/26/23,Pink_261023.csv,5,3,Pink
10/26/23,Pink_261023.csv,6,3,Pink
10/26/23,Pink_261023.csv,7,8,Pink
10/26/23,Pink_261023.csv,8,8,Pink
10/26/23,Pink_261023.csv,9,8,Pink
10/26/23,Blue_261023.csv,1,6,Blue
10/26/23,Blue_261023.csv,2,6,Blue
10/26/23,Blue_261023.csv,3,6,Blue
10/26/23,Blue_261023.csv,4,3,Blue
10/26/23,Blue_261023.csv,5,3,Blue
10/26/23,Blue_261023.csv,6,3,Blue
10/26/23,Blue_261023.csv,7,8,Blue
10/26/23,Blue_261023.csv,8,8,Blue
10/26/23,Blue_261023.csv,9,8,Blue
10/26/23,Yellow_261023.csv,1,6,Yellow
10/26/23,Yellow_261023.csv,2,6,Yellow
10/26/23,Yellow_261023.csv,3,6,Yellow
10/26/23,Yellow_261023.csv,4,3,Yellow
10/26/23,Yellow_261023.csv,5,3,Yellow
10/26/23,Yellow_261023.csv,6,3,Yellow
10/26/23,Yellow_261023.csv,7,8,Yellow
10/26/23,Yellow_261023.csv,8,8,Yellow
10/26/23,Yellow_261023.csv,9,8,Yellow
10/26/23,Green_261023.csv,1,6,Green
10/26/23,Green_261023.csv,2,3,Green
10/26/23,Green_261023.csv,3,8,Green
10/26/23,Green_261023.csv,4,8,Green
10/26/23,Green_261023.csv,5,8,Green
10/26/23,Purple_261023.csv,1,6,Purple
10/26/23,Purple_261023.csv,2,6,Purple
10/26/23,Purple_261023.csv,3,6,Purple
10/26/23,Purple_261023.csv,4,3,Purple
10/26/23,Purple_261023.csv,5,8,Purple
10/26/23,red_261023.csv,1,6,red
10/26/23,red_261023.csv,2,6,red
10/26/23,red_261023.csv,3,3,red
10/26/23,red_261023.csv,4,3,red
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
